id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
232,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.7,2640,0
233,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,912,0
234,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,24.4,1263,0
235,0,0,1,1,66,1,0,0,0,0,0,2,0,0,1,1,1,49.4,1612,0
236,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,70.0,2626,1
237,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.45,903,1
238,1,0,1,0,72,1,2,0,0,2,2,0,2,2,2,0,0,82.15,2381,0
239,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,20.2,990,1
240,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.55,2704,1
241,1,0,0,1,6,1,2,2,1,1,1,1,1,1,0,0,3,26.35,846,0
242,1,0,0,1,1,1,0,0,0,0,0,2,0,2,0,1,3,59.55,2406,0
243,0,0,0,0,30,0,1,0,0,0,0,2,0,2,1,1,1,40.35,211,0
244,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,44.7,1976,1
245,0,1,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.05,2954,1
246,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,90.55,3031,1
247,1,1,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,987,1
248,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,2611,1
249,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.35,993,0
250,1,1,1,0,32,1,2,1,0,2,2,0,0,2,0,1,2,93.5,1511,0
251,0,0,1,1,7,1,0,0,2,2,2,0,2,0,1,0,2,69.45,2097,0
252,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.15,2629,1
253,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.95,913,1
254,1,0,1,1,69,1,0,2,1,1,1,1,1,1,1,1,1,20.55,436,0
255,1,0,0,0,9,1,2,1,0,0,0,0,2,0,0,1,2,85.5,2852,0
256,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,49.5,2140,0
257,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,2,75.9,2757,1
258,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,2012,1
259,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,44.0,1966,0
260,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,42.9,1915,1
261,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,48.45,2105,0
262,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,69.5,2604,1
263,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.4,902,1
264,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,46.3,2050,1
265,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,73.0,2700,1
266,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,35.05,1696,1
267,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.25,2631,0
268,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.25,900,0
269,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.55,2753,0
270,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.2,899,0
271,1,0,1,1,32,1,2,1,2,0,0,0,2,2,0,1,1,99.55,1592,1
272,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.45,2813,1
273,1,0,0,1,1,1,2,1,0,0,0,0,2,2,0,1,2,93.3,3070,1
274,1,0,1,0,3,0,1,0,2,0,0,2,0,0,0,0,3,35.1,10,0
275,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,44.15,1968,1
276,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,2606,1
277,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.1,2598,1
278,0,0,0,0,57,1,2,1,0,2,0,2,0,2,1,0,2,94.7,2303,0
279,0,1,1,0,1,1,0,1,0,2,0,0,0,0,0,1,3,76.4,2775,1
280,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,987,0
281,1,0,0,0,1,1,2,1,2,0,0,0,0,0,0,1,2,81.7,2885,1
282,0,0,0,0,31,1,2,1,2,2,0,0,2,2,0,0,2,104.35,1593,0
283,0,0,0,0,61,1,2,1,0,0,2,2,2,2,2,1,2,106.6,2510,1
284,1,0,0,0,45,1,2,1,0,0,2,2,2,2,0,1,0,103.65,2090,0
285,0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,1,3,80.2,2867,1
286,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,906,1
287,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.4,1263,0
288,0,0,0,0,1,1,0,1,2,2,0,2,0,0,0,1,3,83.4,2921,0
289,0,0,0,0,38,1,0,2,1,1,1,1,1,1,2,0,3,20.05,2737,0
290,0,0,0,0,15,1,0,0,2,0,2,2,0,0,0,0,2,58.95,3114,0
291,1,0,1,1,43,1,2,2,1,1,1,1,1,1,2,0,3,24.25,91,0
292,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,3,85.45,2957,1
293,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.1,2628,1
294,1,0,0,0,1,1,2,1,0,2,0,0,0,0,0,1,2,79.15,2837,1
295,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,3,35.9,1703,0
296,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,45.95,2016,1
297,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,44.75,1977,0
298,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2629,1
299,0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,1,85.55,2959,1
300,0,0,0,0,1,1,2,2,1,1,1,1,1,1,0,1,2,25.7,1326,0
301,1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.7,908,0
302,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.5,904,0
303,0,0,1,0,53,1,2,0,2,2,2,0,0,2,1,0,0,74.1,1790,0
304,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.45,2315,0
305,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,44.95,1980,0
306,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.7,908,1
